bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Bloom & Wild,bloomwild.com,geraden en bevestigd,Customer Delight Talent Pool,2026-09-13,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-delight-talent-pool-at-bloom-wild-4466735976,klantenservice medewerker
Bloom & Wolf,bloomwolf.nl,geraden en bevestigd,🌸 VACATURE: House-of-Rituals medewerker bij Bloom &amp; Wolf,2026-07-06,Randstad,1,nee,https://nl.linkedin.com/jobs/view/%F0%9F%8C%B8-vacature-house-of-rituals-medewerker-bij-bloom-wolf-at-bloom-wolf-4437410088,webshop medewerker
bloomon,bloomon.nl,geraden en bevestigd,Customer Support Senior Associate (Dutch or German Speaking),2026-09-15,Amsterdam Area,1,ja,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloomon-4467727735,klantenservice medewerker
Booking Boosters,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-16,Enschede,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-boosters-4468318072,customer happiness
Booking Experts,bookingexperts.com,geraden en bevestigd,Customer Support Specialist DACH,2026-09-17,Enschede,4,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467141096,customer happiness
BOSKA Food Tools,boska.com,geraden en bevestigd,Medewerker klantenservice,2026-09-14,Bodegraven,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-boska-food-tools-4467034939,e-commerce medewerker
BridgeFund,bridgefund.nl,geraden en bevestigd,Customer Service Representative,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-bridgefund-4445916609,klantenservice medewerker
Brighteq,brighteq.nl,geraden en bevestigd,Medior frontend developer,2026-08-01,Utrecht Area,1,nee,https://nl.linkedin.com/jobs/view/medior-frontend-developer-at-brighteq-4447616074,webshop medewerker
Brightways - Marketplace Accelerators,brightways.nl,geraden en bevestigd,Marketplace Manager Amazon &amp; Bol Focused - Client Facing,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/marketplace-manager-amazon-bol-focused-client-facing-at-brightways-marketplace-accelerators-4464543208,e-commerce medewerker
Brivo,brivo.com,geraden en bevestigd,Customer Care Receptionist,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-care-receptionist-at-brivo-4466671816,customer service
Brocacef,brocacef.nl,geraden en bevestigd,Medewerker contact en support,2026-09-14,Maarssen,3,nee,https://nl.linkedin.com/jobs/view/medewerker-contact-en-support-at-brocacef-4376576436,klantenservice medewerker
Brother International (Nederland) BV,brother.nl,geraden en bevestigd,Medewerker Sales Support,2026-09-10,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-sales-support-at-brother-international-nederland-bv-4465818043,orderverwerking medewerker
Bruynzeel Keukens,bruynzeelkeukens.nl,geraden en bevestigd,Klantbegeleider Retail,2026-09-15,Bergen op Zoom,3,nee,https://nl.linkedin.com/jobs/view/klantbegeleider-retail-at-bruynzeel-keukens-4458070511,customer happiness
BTE Nederland B.V.,bte.nl,geraden en bevestigd,Medewerker Verkoop Binnendienst,2026-09-01,Heumen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-binnendienst-at-bte-nederland-b-v-4460632832,orderverwerking medewerker
Bugaboo Group,bugaboo.com,geraden en bevestigd,Growth Content &amp; Product Data Specialist,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/growth-content-product-data-specialist-at-bugaboo-group-4466683442,webcare medewerker
Burger Support BV,burgersupport.nl,geraden en bevestigd,Customer Service Medewerker,2026-09-17,Lelystad,3,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-burger-support-bv-4468602778,klantenservice medewerker
BUX,bux.nl,geraden en bevestigd,Customer Support Representative (deutschsprachig),2026-09-08,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-deutschsprachig-at-bux-4463286894,klantenservice medewerker
BYZZ,byzz.nl,geraden en bevestigd,Commercieel Medewerker binnendienst (jr),2026-08-31,Leusden,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-jr-at-byzz-4461066818,orderverwerking medewerker
Cabau Lifestyle,cabaulifestyle.com,geraden en bevestigd,CRO Specialist,2026-08-21,Arnhem,1,ja,https://nl.linkedin.com/jobs/view/cro-specialist-at-cabau-lifestyle-4457305819,webcare medewerker
