bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Colosseum Dental Benelux,colosseumdental.nl,geraden en bevestigd,Baliemedewerker,2026-02-24,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/baliemedewerker-at-colosseum-dental-benelux-4376438027,webcare medewerker
Commaxx Group,commaxxgroup.com,geraden en bevestigd,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,2026-08-05,Kerkrade,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,webcare medewerker
CompuGroup Medical SE & Co. KGaA,cgm.com,geraden en bevestigd,L1 Support Professional,2026-09-02,Echt,1,nee,https://nl.linkedin.com/jobs/view/l1-support-professional-at-compugroup-medical-se-co-kgaa-4415662858,webcare medewerker
Concentrix,concentrix.com,geraden en bevestigd,Klantenservicemedewerker BMW Customer Service - Rijswijk,2026-09-07,Rijswijk,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-bmw-customer-service-rijswijk-at-concentrix-4462215965,klantenservice medewerker
CowManager,cowmanager.nl,geraden en bevestigd,Full stack-ontwikkelaar,2026-09-18,Harmelen,1,nee,https://nl.linkedin.com/jobs/view/full-stack-ontwikkelaar-at-cowmanager-4467829869,webcare medewerker
Cqure,cqure.nl,geraden en bevestigd,Junior SOC Analist,2026-09-18,"Flevoland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/junior-soc-analist-at-cqure-4466689593,webcare medewerker
Currentt,currentt.nl,geraden en bevestigd,Technical Support &amp; Customer Success Manager,2026-07-20,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/technical-support-customer-success-manager-at-currentt-4442781365,customer happiness
CWS Hygiene Nederland,cws.com,geraden en bevestigd,Medewerker customer care | 32-40 uur,2026-08-28,Den Bosch,2,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-32-40-uur-at-cws-hygiene-nederland-4460301689,klantenservice medewerker
DataSnipper,datasnipper.com,geraden en bevestigd,Strategic Customer Success Manager,2026-09-16,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/strategic-customer-success-manager-at-datasnipper-4467963733,customer happiness
de Bijenkorf,de-bijenkorf.nl,geraden en bevestigd,Senior Medewerker Klantenservice,2026-09-21,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/senior-medewerker-klantenservice-at-de-bijenkorf-4433891476,klantenservice medewerker
