bedrijf,domein,code,eind_url,winkel,bericht,uitslag
Suitical,suitical.com,200,https://www.suitical.com/nl,ja,,verkoopt
Superyoga,superyoga.nl,200,https://www.superyoga.nl/,ja,,verkoopt
Swiss Sense,swisssense.nl,200,https://www.swisssense.nl/,ja,,verkoopt
Tadaaz,tadaaz.nl,200,https://tadaaz.nl/nl,ja,,verkoopt
Tegeldepot,tegeldepot.nl,403,https://tegeldepot.nl/,,,"onbekend, met de hand nakijken"
Tenue Soleil,tenuesoleil.com,200,https://tenuesoleil.com/,ja,,verkoopt
Things I Like Things I Love,thingsilikethingsilove.com,200,https://www.thingsilikethingsilove.com/,ja,,verkoopt
Tirisi,tirisi.com,200,https://tirisi.com/,ja,,verkoopt
Topbloemen.nl,topbloemen.nl,200,https://topbloemen.nl/,ja,,verkoopt
Tuinmeubelshop,tuinmeubelshop.nl,200,https://www.tuinmeubelshop.nl/,ja,,verkoopt
Van Leersum Dranken,vanleersumdranken.nl,200,https://www.vanleersumdranken.nl/,ja,,verkoopt
Vedder & Vedder,vedder-vedder.nl,200,https://vedder-vedder.nl/password,ja,,verkoopt
Voomy,voomy.com,200,https://voomy.com/,ja,,verkoopt
We Love The Planet,welovetheplanet.com,200,https://welovetheplanet.com/,ja,,verkoopt
Wolk Airbag,wolkairbag.com,200,https://wolkairbag.com/,ja,,verkoopt
Xpozer,xpozer.com,200,https://xpozer.com/,ja,,verkoopt
Yama Food Shop,yamafoodshop.nl,200,https://www.yamafoodshop.nl/,ja,,verkoopt
Yoek,yoek.nl,200,https://yoek.nl/,ja,,verkoopt
ZINZI,zinzi.nl,200,https://www.zinzi.nl/,ja,,verkoopt
Zelesta,zelesta.nl,200,https://zelesta.nl/,ja,,verkoopt
Zens,zens.tech,200,https://zens.tech/nl,ja,,verkoopt
Zitmaxx Wonen,zitmaxx.nl,200,https://www.zitmaxx.nl/,ja,,verkoopt
the Store Woerden,thestorewoerden.nl,200,https://thestorewoerden.nl/,ja,,verkoopt
zilver.nl,zilver.nl,200,https://zilver.nl/,ja,,verkoopt
