bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Belgie Vacature,Klantendienstmedewerker Belfius - Brussel,"Berchem, Vlaanderen, België",2026-08-21,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantendienstmedewerker-belfius-brussel-at-belgie-vacature-4457525548,https://nl.linkedin.com/company/belgievacature-be,4457525548
Belgie Vacature,Klantendienstmedewerker Belfius - Brussel,"Puurs-Sint-Amands, Vlaanderen, België",2026-08-21,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantendienstmedewerker-belfius-brussel-at-belgie-vacature-4457519589,https://nl.linkedin.com/company/belgievacature-be,4457519589
Belgie Vacature,Klantendienstmedewerker Belfius – Brussel,"Zaventem, Vlaanderen, België",2026-08-21,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantendienstmedewerker-belfius-%E2%80%93-brussel-at-belgie-vacature-4457504700,https://nl.linkedin.com/company/belgievacature-be,4457504700
Belgie Vacature,Klantendienstmedewerker Belfius – Brussel,"Mechelen, Vlaanderen, België",2026-08-21,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantendienstmedewerker-belfius-%E2%80%93-brussel-at-belgie-vacature-4457521579,https://nl.linkedin.com/company/belgievacature-be,4457521579
Belgie Vacature,Customer service Engineer (Particulieren),"Zaventem, Vlaanderen, België",2026-08-26,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-engineer-particulieren-at-belgie-vacature-4459391552,https://nl.linkedin.com/company/belgievacature-be,4459391552
Belgie Vacature,Customer Service Medewerker | €3000-3500 bruto,"Nossegem, Vlaanderen, België",2026-08-28,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-%E2%82%AC3000-3500-bruto-at-belgie-vacature-4460535081,https://nl.linkedin.com/company/belgievacature-be,4460535081
Belgie Vacature,Customer Care Specialist | affiniteit IT | Antwerpen,"Antwerpen, Vlaanderen, België",2026-08-31,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-specialist-affiniteit-it-antwerpen-at-belgie-vacature-4461283548,https://nl.linkedin.com/company/belgievacature-be,4461283548
Belgie Vacature,Customer Care Medewerker | optie vast | thuiswerk | financiële se,"Antwerpen, Vlaanderen, België",2026-09-02,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-optie-vast-thuiswerk-financi%C3%ABle-se-at-belgie-vacature-4462472930,https://nl.linkedin.com/company/belgievacature-be,4462472930
Belgie Vacature,Customer Service Specialist,"Mechelen, Vlaanderen, België",2026-09-03,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-belgie-vacature-4463130363,https://nl.linkedin.com/company/belgievacature-be,4463130363
Belgie Vacature,Klantendienstmedewerker ING - Mechelen - Telewerk mogelijk,"Mechelen, Vlaanderen, België",2026-09-04,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/klantendienstmedewerker-ing-mechelen-telewerk-mogelijk-at-belgie-vacature-4463644892,https://nl.linkedin.com/company/belgievacature-be,4463644892
Belgie Vacature,Customer Care medewerker,"Gent, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-at-belgie-vacature-4464385751,https://nl.linkedin.com/company/belgievacature-be,4464385751
Belgie Vacature,Customer Service Medewerker,"Wervik, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464403204,https://nl.linkedin.com/company/belgievacature-be,4464403204
Belgie Vacature,Customer Care Medewerker,"Kessel-Lo, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-at-belgie-vacature-4464402239,https://nl.linkedin.com/company/belgievacature-be,4464402239
Belgie Vacature,Customer Service Medewerker,"Temse, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464393325,https://nl.linkedin.com/company/belgievacature-be,4464393325
Belgie Vacature,Customer Service medewerker,"Menen, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464397269,https://nl.linkedin.com/company/belgievacature-be,4464397269
Belgie Vacature,Customer Care | financiële sector | snelle opstart | kennis Frans,"Antwerpen, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-financi%C3%ABle-sector-snelle-opstart-kennis-frans-at-belgie-vacature-4464390350,https://nl.linkedin.com/company/belgievacature-be,4464390350
Belgie Vacature,Customer Service Medewerker,"Zaventem, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464403205,https://nl.linkedin.com/company/belgievacature-be,4464403205
Belgie Vacature,Customer Service Medewerker,"Aalst, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464397270,https://nl.linkedin.com/company/belgievacature-be,4464397270
Belgie Vacature,Customer Service Medewerker,"Ardooie, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464384936,https://nl.linkedin.com/company/belgievacature-be,4464384936
Belgie Vacature,Customer Service Medewerker,"Lichtervelde, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464399255,https://nl.linkedin.com/company/belgievacature-be,4464399255
Belgie Vacature,Customer Care Medewerker,"Wommelgem, Vlaanderen, België",2026-09-07,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-at-belgie-vacature-4464385746,https://nl.linkedin.com/company/belgievacature-be,4464385746
Belgie Vacature,Customer Service Advisor,"Hasselt, Vlaanderen, België",2026-09-08,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-at-belgie-vacature-4464690434,https://nl.linkedin.com/company/belgievacature-be,4464690434
Belgie Vacature,Customer Support Advisor,"Hasselt, Vlaanderen, België",2026-09-08,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-support-advisor-at-belgie-vacature-4464684974,https://nl.linkedin.com/company/belgievacature-be,4464684974
Belgie Vacature,Customer Service Medewerker,"Daknam, Vlaanderen, België",2026-09-08,klantenservice medewerker,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-belgie-vacature-4464697332,https://nl.linkedin.com/company/belgievacature-be,4464697332
