bedrijf,functie,plaats,datum,zoekterm,al_in_pool,vacature_url,bedrijf_linkedin,vacature_id
Bax Music,Telefoonmedewerker Winkel Amsterdam,Amsterdam,2026-07-24,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/telefoonmedewerker-winkel-amsterdam-at-bax-music-4441833090,https://nl.linkedin.com/company/baxmusic,4441833090
Bax Music,Telefoonmedewerker Winkel Rotterdam,Rotterdam,2026-07-24,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/telefoonmedewerker-winkel-rotterdam-at-bax-music-4441824515,https://nl.linkedin.com/company/baxmusic,4441824515
Bax Music,Telefoonmedewerker Winkel Apeldoorn,Apeldoorn,2026-08-18,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/telefoonmedewerker-winkel-apeldoorn-at-bax-music-4454484385,https://nl.linkedin.com/company/baxmusic,4454484385
BCS HR Software,Customer Success Manager,'s-Hertogenbosch,2026-07-29,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-bcs-hr-software-4446743358,https://nl.linkedin.com/company/bcs-hr-software,4446743358
Bedrijfsfitness Nederland,Customer Support Specialist,Heerenveen,2026-09-11,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-bedrijfsfitness-nederland-by-epassi-4457324263,https://nl.linkedin.com/company/bedrijfsfitness-nederland,4457324263
Bergman Clinics,CSA Medewerker,Capelle aan den IJssel,2026-09-07,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/csa-medewerker-at-bergman-clinics-4464325862,https://nl.linkedin.com/company/bergman-clinics,4464325862
Billink,Customer Success Manager,Gouda,2026-08-18,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-billink-4455757456,https://nl.linkedin.com/company/billink-bv,4455757456
Bizzdesign,Senior Customer Success Manager,Utrecht,2026-09-09,customer happiness,nee,https://nl.linkedin.com/jobs/view/senior-customer-success-manager-at-bizzdesign-4463808925,https://nl.linkedin.com/company/bizzdesign,4463808925
Bloom &amp; Wild,Customer Support Senior Associate (Dutch or German Speaking),Amsterdam,2026-08-06,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloom-wild-4450264669,https://uk.linkedin.com/company/bloom-&amp;-wild,4450264669
Bloom &amp; Wild,Customer Delight Talent Pool,Amsterdam,2026-09-13,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-delight-talent-pool-at-bloom-wild-4466735976,https://uk.linkedin.com/company/bloom-&amp;-wild,4466735976
bloomon,Customer Support Senior Associate (Dutch or German Speaking),Amsterdam Area,2026-09-15,klantenservice medewerker,ja,https://nl.linkedin.com/jobs/view/customer-support-senior-associate-dutch-or-german-speaking-at-bloomon-4467727735,https://nl.linkedin.com/company/bloomon,4467727735
Boels Rental,Manager Customer Service,Sittard,2026-09-08,customer happiness,nee,https://nl.linkedin.com/jobs/view/manager-customer-service-at-boels-rental-4464469303,https://nl.linkedin.com/company/boels-rental,4464469303
Booking Boosters,Customer Support Specialist DACH,Enschede,2026-09-16,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-boosters-4468318072,https://nl.linkedin.com/company/bookingboosters,4468318072
Booking Experts,Customer Success Specialist,Enschede,2026-03-24,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-booking-experts-b-v-4389326232,https://nl.linkedin.com/company/bookingexperts,4389326232
Booking Experts,Customer Success Manager,Enschede,2026-03-28,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-booking-experts-b-v-4391239572,https://nl.linkedin.com/company/bookingexperts,4391239572
Booking Experts,Customer Support Specialist DACH,Enschede,2026-09-17,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467141096,https://nl.linkedin.com/company/bookingexperts,4467141096
Booking Experts,Customer Support Specialist DACH,Enschede,2026-09-17,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-dach-at-booking-experts-b-v-4467138168,https://nl.linkedin.com/company/bookingexperts,4467138168
Booston.io,Cleanroom Medewerker 2-ploegen (Bergeijk) | NL or ENG,Bergeyk,2026-09-21,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/cleanroom-medewerker-2-ploegen-bergeijk-nl-or-eng-at-booston-io-4468736436,https://nl.linkedin.com/company/booston,4468736436
BridgeFund,Customer Service Representative,Amsterdam,2026-09-09,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-bridgefund-4445916609,https://nl.linkedin.com/company/bridgefund,4445916609
Brink's Solutions Nederland,Customer Success Agent (32-40 uur),"Utrecht, Nederland",2026-09-08,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-success-agent-32-40-uur-at-brink-s-solutions-nederland-4462295963,https://nl.linkedin.com/company/brinksnl,4462295963
Brocacef,IT Business Product Support,"Utrecht, Nederland",2026-08-31,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/it-business-product-support-at-brocacef-4449997983,https://nl.linkedin.com/company/brocacef,4449997983
Brocacef,Facilitair servicedesk medewerker,Utrecht,2026-08-31,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/facilitair-servicedesk-medewerker-at-brocacef-4413945247,https://nl.linkedin.com/company/brocacef,4413945247
Brocacef,Medewerker contact en support,Maarssen,2026-09-14,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/medewerker-contact-en-support-at-brocacef-4376576436,https://nl.linkedin.com/company/brocacef,4376576436
Bruynzeel Keukens,Klantbegeleider Retail,Bergen op Zoom,2026-09-15,customer happiness,nee,https://nl.linkedin.com/jobs/view/klantbegeleider-retail-at-bruynzeel-keukens-4458070511,https://nl.linkedin.com/company/bruynzeel-keukens-bv,4458070511
Bugaboo Group,Growth Content &amp; Product Data Specialist,Amsterdam,2026-09-18,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/growth-content-product-data-specialist-at-bugaboo-group-4466683442,https://www.linkedin.com/company/bugaboo-group,4466683442
Burger Support BV,Customer Service Medewerker,Lelystad,2026-09-17,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-burger-support-bv-4468602778,https://nl.linkedin.com/company/burgersupport,4468602778
BUX,Customer Support Representative (deutschsprachig),Amsterdam,2026-09-08,klantenservice medewerker,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-deutschsprachig-at-bux-4463286894,https://nl.linkedin.com/company/bux,4463286894
BUX,Customer Support Representative (Nederlandstalig),Amsterdam,2026-09-08,customer happiness,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-nederlandstalig-at-bux-4452360388,https://nl.linkedin.com/company/bux,4452360388
Cabau Lifestyle,CRO Specialist,Arnhem,2026-08-21,webcare medewerker,ja,https://nl.linkedin.com/jobs/view/cro-specialist-at-cabau-lifestyle-4457305819,https://nl.linkedin.com/company/cabau-lifestyle,4457305819
Capgemini,Frontend Developer - NL,Utrecht,2026-06-03,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/frontend-developer-nl-at-capgemini-4418513610,https://fr.linkedin.com/company/capgemini,4418513610
Capgemini,Frontend Developer,Utrecht,2026-06-03,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/frontend-developer-at-capgemini-4419468026,https://fr.linkedin.com/company/capgemini,4419468026
Cardano,Digital Marketing Coordinator,Rotterdam,2026-09-04,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/digital-marketing-coordinator-at-cardano-4463379096,https://nl.linkedin.com/company/cardano,4463379096
Cartier,Client Advisor - Greek and Italian,Amsterdam,2026-09-18,customer happiness,nee,https://nl.linkedin.com/jobs/view/client-advisor-greek-and-italian-at-cartier-4449738381,https://ch.linkedin.com/company/cartier,4449738381
Catawiki,Frontend Engineer,Randstad,2026-09-21,webcare medewerker,nee,https://nl.linkedin.com/jobs/view/frontend-engineer-at-catawiki-4467372028,https://nl.linkedin.com/company/catawiki,4467372028
