vestiging,bedrijf,beslisser,functie,status,lp_gescand,actie,datum,batch,lp_url,scans,laatste_scan
,Byzon Buitenzonwering,Jaap Schouten,Mede-oprichter / DGA (sales en marketing),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/byzon-buitenzonwering,,
,Degalux,Willem-Jan Wijnbergen,Eigenaar / directeur (samen met Niels Schotanus sinds 2019),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/degalux,,
,Ferney Group,Gert Rademaker,Algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/ferney-group,,
,NiCB Inkoopcombinatie Bouwbedrijven,Rinus Reimert,Directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/nicb,,
,Nicovij,Willie Dekens,Algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/nicovij,,
,4PLUS,Kees Machielse,Algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/4plus,,
,IncoNed,Ben Komor,Chief Commercial Officer,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/inconed,,
,Groot Techniek,Ronald Groot,Directeur / eigenaar (tweede generatie),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/groot-techniek,,
,Elektrotransfer,Ferdinand Hogenes,Eigenaar / algemeen directeur (oprichter),benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/elektrotransfer,,
,TICNED,Norbert Leerkes,Directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/ticned,,
,Marree Technische Groothandel,Ben Marree,Directeur/eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/marree-technische-groothandel,,
,Warmteservice,Theo de Bruin,Algemeen directeur,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/warmteservice,,
,Emondt Groep,Hems Roerink,Directeur/eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/emondt-groep,,
,Uw Duurzame Installateur,Caspar Norg,Directeur/mede-oprichter,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/uw-duurzame-installateur,,
,Nationale Bomenbank,Dirk Doornenbal,Algemeen directeur / mede-eigenaar,benaderd,nee,Kaart verstuurd,,Batch 5,https://www.intro-pique.agency/pique5/nationale-bomenbank,,
